	StopAll__12cSoundServer	cSoundServer::StopAll()
	strcat	strcat
	strchr	strchr
	strcmp	strcmp
	strcpy	strcpy
	strncpy	strncpy
	strrchr	strrchr
	strtok	strtok
	Subscribe__12cMsgReceiverPcUsb	cMsgReceiver::Subscribe(char *, unsigned short, bool)
	Tile__3cGDRC10cRectangleR7cBitmapT1	cGD::Tile(const cRectangle &, cBitmap &, const cRectangle &)
	UnLink__5cNode	cNode::UnLink()
	UnLinkList__5cList	cList::UnLinkList()
	Unlock__10cSemaphore	cSemaphore::Unlock()
	Use__13cSystemMemoryR9cMemBlock	cSystemMemory::Use(cMemBlock &)
	VLine___3cGDRCt6tPoint1ZllG6cColorRC10cRectangle	cGD::VLine_(const tPoint<long> &, long, cColor, const cRectangle &)
	VM_GetCDRomName__Fv	VM_GetCDRomName()
	VM_GetFrameCounter__Fv	VM_GetFrameCounter()
	Wait__7cThread	cThread::Wait()
	Write__5cFilePCvUl	cFile::Write(const void *, unsigned long)
